COUNTY,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHWORK0,HHWORK1,HHWORK2,HHWORK3,POPAGE1,POPAGE2,POPAGE3,POPAGE4,POPAGE5,POPAGE6,POPSEX1,POPSEX2,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE,POPWRKR
1,217410,196777,75672,89101,157080,199461,152164,70254,43583,83813,130161,248337,463714,303252,637990,634869,578960,503892,75068,122844,86468,56503,46923,62190,204032,31328,1241531,610288,708929
2,103259,131151,62960,97322,88656,127556,120089,58392,41068,125522,68310,137408,391508,250169,499385,514600,394692,300798,93894,35719,53674,43612,40901,61966,158820,10722,1003263,405414,521058
3,262748,342314,184806,282310,208148,391492,329823,142715,148744,372534,266525,429582,1061280,608794,1451824,1435635,1072178,780324,291854,133570,172857,136477,122145,171631,335498,33615,2853844,1105793,1477679
4,231599,274734,138614,205852,227712,286648,236386,100052,105178,260945,236185,322082,814835,443109,1073445,1108888,850799,645845,204954,142342,137807,112414,96399,117798,244039,50652,2131681,901451,1150919
5,127226,185315,91304,147750,141185,180037,164098,66275,68060,204222,112546,177779,558097,334283,720860,734128,551595,407202,144393,47889,62754,75798,65790,99303,200061,12560,1442428,564155,766250
6,39353,59018,29750,48403,44886,55392,50820,25428,23179,70662,36006,54648,191400,102888,229719,249065,176525,124882,51643,10193,16053,28034,25626,36141,60478,5291,473493,181816,257114
7,13967,19987,7860,13796,14457,16535,16085,8534,6639,18375,12653,16342,51169,41685,74378,72485,55611,42240,13371,2744,4754,8734,7348,11712,20319,4825,142038,60436,78599
8,60183,81343,32296,46280,65387,69510,59795,25411,23218,66496,43942,60664,196126,151594,265882,276157,220102,169809,50293,15131,24485,37076,28898,41918,72594,14113,527926,234215,294059
9,44459,52685,20441,28265,41651,49302,43032,11865,10710,37441,19988,25063,126196,119065,160390,178073,145850,119335,26515,14232,18867,18400,13641,22167,58543,5394,333069,151244,164885
