TAZ,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE
1,698,662,36,177,175,104,66,96,80,2,1078,700
2,415,167,248,184,133,51,24,9,14,13,1242,428
3,2194,1972,222,536,274,217,233,398,536,12,4448,2206
4,1885,1679,206,385,133,124,170,383,690,0,3978,1885
5,2494,2298,196,353,249,200,188,471,1033,4,4342,2498
6,987,856,131,111,92,98,96,193,397,12,2173,999
7,380,340,40,169,82,38,29,32,30,0,923,380
8,639,599,40,95,45,78,50,85,286,0,1091,639
9,586,126,460,140,124,112,42,65,103,595,1978,1181
10,1238,999,239,82,33,35,73,192,823,100,2764,1338
11,741,662,79,330,160,75,56,63,57,0,1578,741
12,595,557,38,107,77,88,78,113,132,0,919,595
13,502,470,32,90,65,74,66,95,112,0,853,502
14,784,740,44,345,180,83,58,82,36,208,1089,992
15,454,429,25,200,105,48,33,47,21,0,860,454
16,1034,977,57,455,238,110,76,108,47,171,1478,1205
17,932,880,52,410,215,99,69,97,42,0,1204,932
18,1138,1031,107,613,322,88,41,48,26,196,1607,1334
19,1071,971,100,577,303,83,39,45,24,112,1636,1183
20,896,798,98,313,228,103,73,87,92,63,1502,959
21,1468,1311,157,192,124,118,95,253,686,94,2590,1562
22,744,664,80,97,63,60,48,128,348,27,1181,771
23,928,749,179,61,25,27,55,144,616,60,1541,988
24,862,807,55,154,112,127,114,164,191,205,1338,1067
25,1314,1230,84,235,170,194,173,249,293,0,2040,1314
26,1712,1615,97,537,363,263,159,177,213,42,2987,1754
27,1164,1098,66,365,247,179,108,120,145,0,1994,1164
28,1635,1542,93,513,346,252,152,169,203,365,2689,2000
29,1059,954,105,374,278,112,84,98,113,9,1822,1068
30,1524,1373,151,538,399,162,120,141,164,77,2767,1601
31,382,344,38,135,100,41,30,35,41,323,548,705
32,501,435,66,56,47,50,49,98,201,0,904,501
