REGION,POPAGE1,POPAGE2,POPAGE3,POPAGE4,POPAGE5,POPAGE6,POPSEX1,POPSEX2
1,440564,1163356,642227,1182987,3118785,1082056,3787608,3842367
2,153073,423754,239082,343256,934023,345044,1195316,1242916
3,113150,313413,157159,213467,549045,180993,760116,767111
4,51489,132796,92273,104879,284145,99520,385878,379224
