COUNTY,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHWORK0,HHWORK1,HHWORK2,HHWORK3,POPAGE1,POPAGE2,POPAGE3,POPAGE4,POPAGE5,POPAGE6,POPSEX1,POPSEX2,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE,POPWRKR
1,173768,156218,69019,82271,96704,177474,154418,52680,33507,60496,134974,209521,351240,287329,529055,548012,481276,427012,54264,110571,100293,51858,45365,54472,118717,30792,1046275,512068,618418
2,83652,108622,62908,103062,59060,119806,128645,50732,38103,117568,73400,136814,325033,268898,477572,482244,358243,272926,85317,27977,48682,43906,40159,57245,140274,10529,949287,368772,485878
3,196135,268955,165758,265993,137080,327798,320236,111728,105305,301768,281619,346732,788440,619057,1246840,1196081,896842,678823,218019,125204,201392,124955,116626,130908,197757,33687,2409234,930529,1246601
4,147217,173869,104737,159880,116496,212740,194250,62217,71881,181273,177337,231619,537621,351814,766768,784777,585703,447339,138364,94275,106882,74233,65908,80378,164027,42664,1508881,628367,817954
5,89671,128562,74772,125557,80138,147049,146949,44425,52309,158628,91819,141031,398008,290282,568572,563504,418561,308973,109588,40635,60027,48675,48275,66860,154089,11851,1120225,430412,581923
6,34009,50734,30902,52488,32882,56908,57469,20873,21574,70004,37925,58414,171756,108698,225871,242501,168133,118850,49283,18533,30550,23773,25011,28719,41547,5213,463159,173346,258216
7,12392,17697,8186,14914,10616,16793,18341,7439,6246,17631,11566,16662,45277,46037,72620,70800,53189,40441,12748,4105,5660,5790,5688,9414,22532,4782,138638,57971,73972
8,55797,73790,34912,51773,48709,74673,70152,22737,22780,62514,59297,66499,165120,165470,272143,269537,216271,169435,46836,25864,48912,36836,24658,35342,44659,11654,530026,227925,298165
9,32229,38587,17175,22319,23495,40634,38665,7516,7018,27262,16654,15416,87886,101108,131222,124121,110310,93806,16504,7842,10147,14043,8009,17643,52626,5345,249998,115655,125017
