geography,id,name,value,source,control_size
TAZ,5,hh_inc_25_50,649,Control,649
TAZ,5,hh_inc_50_75,346,Control,346
TAZ,5,hh_inc_75_100,310,Control,310
TAZ,5,hh_inc_100_150,433,Control,433
TAZ,5,hh_inc_150_plus,430,Control,430
TAZ,5,hh_gq,7,Control,7
TAZ,5,hh_child,3223,Control,3223
TAZ,5,hh_no_child,175,Control,175
TAZ,5,num_hh,3405,Result,3405
TAZ,5,hh_inc_25,1229,Result,1230
TAZ,5,hh_inc_25_50,649,Result,649
TAZ,5,hh_inc_50_75,346,Result,346
TAZ,5,hh_inc_75_100,310,Result,310
TAZ,5,hh_inc_100_150,433,Result,433
TAZ,5,hh_inc_150_plus,431,Result,430
TAZ,5,hh_gq,7,Result,7
TAZ,5,hh_child,3223,Result,3223
TAZ,5,hh_no_child,175,Result,175
TAZ,5,num_hh,0,Difference,3405
TAZ,5,hh_inc_25,-1,Difference,1230
TAZ,5,hh_inc_25_50,0,Difference,649
TAZ,5,hh_inc_50_75,0,Difference,346
TAZ,5,hh_inc_75_100,0,Difference,310
TAZ,5,hh_inc_100_150,0,Difference,433
TAZ,5,hh_inc_150_plus,1,Difference,430
TAZ,5,hh_gq,0,Difference,7
TAZ,5,hh_child,0,Difference,3223
TAZ,5,hh_no_child,0,Difference,175
TAZ,6,num_hh,1366,Control,1366
TAZ,6,hh_inc_25,439,Control,439
TAZ,6,hh_inc_25_50,219,Control,219
TAZ,6,hh_inc_50_75,192,Control,192
TAZ,6,hh_inc_75_100,115,Control,115
TAZ,6,hh_inc_100_150,191,Control,191
TAZ,6,hh_inc_150_plus,190,Control,190
TAZ,6,hh_gq,20,Control,20
TAZ,6,hh_child,1176,Control,1176
TAZ,6,hh_no_child,170,Control,170
TAZ,6,num_hh,1366,Result,1366
TAZ,6,hh_inc_25,439,Result,439
TAZ,6,hh_inc_25_50,219,Result,219
TAZ,6,hh_inc_50_75,192,Result,192
TAZ,6,hh_inc_75_100,115,Result,115
TAZ,6,hh_inc_100_150,191,Result,191
TAZ,6,hh_inc_150_plus,190,Result,190
TAZ,6,hh_gq,20,Result,20
TAZ,6,hh_child,1176,Result,1176
TAZ,6,hh_no_child,170,Result,170
TAZ,6,num_hh,0,Difference,1366
TAZ,6,hh_inc_25,0,Difference,439
TAZ,6,hh_inc_25_50,0,Difference,219
TAZ,6,hh_inc_50_75,0,Difference,192
TAZ,6,hh_inc_75_100,0,Difference,115
TAZ,6,hh_inc_100_150,0,Difference,191
TAZ,6,hh_inc_150_plus,0,Difference,190
TAZ,6,hh_gq,0,Difference,20
TAZ,6,hh_child,0,Difference,1176
TAZ,6,hh_no_child,0,Difference,170
TAZ,7,num_hh,542,Control,542
TAZ,7,hh_inc_25,182,Control,182
TAZ,7,hh_inc_25_50,99,Control,99
TAZ,7,hh_inc_50_75,69,Control,69
TAZ,7,hh_inc_75_100,50,Control,50
TAZ,7,hh_inc_100_150,65,Control,65
TAZ,7,hh_inc_150_plus,77,Control,77
TAZ,7,hh_gq,0,Control,0
TAZ,7,hh_child,454,Control,454
TAZ,7,hh_no_child,88,Control,88
TAZ,7,num_hh,542,Result,542
TAZ,7,hh_inc_25,182,Result,182
TAZ,7,hh_inc_25_50,99,Result,99
TAZ,7,hh_inc_50_75,69,Result,69
TAZ,7,hh_inc_75_100,50,Result,50
TAZ,7,hh_inc_100_150,65,Result,65
TAZ,7,hh_inc_150_plus,77,Result,77
TAZ,7,hh_gq,0,Result,0
TAZ,7,hh_child,454,Result,454
TAZ,7,hh_no_child,88,Result,88
TAZ,7,num_hh,0,Difference,542
TAZ,7,hh_inc_25,0,Difference,182
TAZ,7,hh_inc_25_50,0,Difference,99
TAZ,7,hh_inc_50_75,0,Difference,69
TAZ,7,hh_inc_75_100,0,Difference,50
TAZ,7,hh_inc_100_150,0,Difference,65
TAZ,7,hh_inc_150_plus,0,Difference,77
TAZ,7,hh_gq,0,Difference,0
TAZ,7,hh_child,0,Difference,454
TAZ,7,hh_no_child,0,Difference,88
TAZ,8,num_hh,717,Control,717
TAZ,8,hh_inc_25,263,Control,263
TAZ,8,hh_inc_25_50,137,Control,137
TAZ,8,hh_inc_50_75,99,Control,99
TAZ,8,hh_inc_75_100,46,Control,46
TAZ,8,hh_inc_100_150,86,Control,86
TAZ,8,hh_inc_150_plus,86,Control,86
TAZ,8,hh_gq,0,Control,0
TAZ,8,hh_child,679,Control,679
TAZ,8,hh_no_child,38,Control,38
TAZ,8,num_hh,717,Result,717
TAZ,8,hh_inc_25,263,Result,263
TAZ,8,hh_inc_25_50,137,Result,137
TAZ,8,hh_inc_50_75,99,Result,99
TAZ,8,hh_inc_75_100,46,Result,46
TAZ,8,hh_inc_100_150,86,Result,86
TAZ,8,hh_inc_150_plus,86,Result,86
TAZ,8,hh_gq,0,Result,0
TAZ,8,hh_child,679,Result,679
TAZ,8,hh_no_child,38,Result,38
TAZ,8,num_hh,0,Difference,717
TAZ,8,hh_inc_25,0,Difference,263
TAZ,8,hh_inc_25_50,0,Difference,137
TAZ,8,hh_inc_50_75,0,Difference,99
TAZ,8,hh_inc_75_100,0,Difference,46
TAZ,8,hh_inc_100_150,0,Difference,86
TAZ,8,hh_inc_150_plus,0,Difference,86
TAZ,8,hh_gq,0,Difference,0
TAZ,8,hh_child,0,Difference,679
TAZ,8,hh_no_child,0,Difference,38
TAZ,9,num_hh,10723,Control,10723
TAZ,9,hh_inc_25,915,Control,915
TAZ,9,hh_inc_25_50,1685,Control,1685
TAZ,9,hh_inc_50_75,791,Control,791
TAZ,9,hh_inc_75_100,1158,Control,1158
TAZ,9,hh_inc_100_150,2130,Control,2130
TAZ,9,hh_inc_150_plus,4044,Control,4044
