geography,id,name,value,source,control_size,countycomb_label
TAZ,15,hh_inc_30_60,160,Control,160,NA
TAZ,15,hh_inc_60_100,73,Control,73,NA
TAZ,15,hh_inc_100_plus,594,Control,594,NA
TAZ,15,hh_child,1012,Control,1012,NA
TAZ,15,hh_no_child,122,Control,122,NA
TAZ,15,num_hh,1134,Result,1134,NA
TAZ,15,hh_inc_30,151,Result,137,NA
TAZ,15,hh_inc_30_60,175,Result,160,NA
TAZ,15,hh_inc_60_100,80,Result,73,NA
TAZ,15,hh_inc_100_plus,645,Result,594,NA
TAZ,15,hh_child,939,Result,1012,NA
TAZ,15,hh_no_child,112,Result,122,NA
TAZ,15,num_hh,0,Difference,1134,NA
TAZ,15,hh_inc_30,14,Difference,137,NA
TAZ,15,hh_inc_30_60,15,Difference,160,NA
TAZ,15,hh_inc_60_100,7,Difference,73,NA
TAZ,15,hh_inc_100_plus,51,Difference,594,NA
TAZ,15,hh_child,-73,Difference,1012,NA
TAZ,15,hh_no_child,-10,Difference,122,NA
TAZ,16,num_hh,400,Control,400,NA
TAZ,16,hh_inc_30,69,Control,69,NA
TAZ,16,hh_inc_30_60,16,Control,16,NA
TAZ,16,hh_inc_60_100,61,Control,61,NA
TAZ,16,hh_inc_100_plus,215,Control,215,NA
TAZ,16,hh_child,334,Control,334,NA
TAZ,16,hh_no_child,66,Control,66,NA
TAZ,16,num_hh,400,Result,400,NA
TAZ,16,hh_inc_30,74,Result,69,NA
TAZ,16,hh_inc_30_60,17,Result,16,NA
TAZ,16,hh_inc_60_100,65,Result,61,NA
TAZ,16,hh_inc_100_plus,226,Result,215,NA
TAZ,16,hh_child,319,Result,334,NA
TAZ,16,hh_no_child,63,Result,66,NA
TAZ,16,num_hh,0,Difference,400,NA
TAZ,16,hh_inc_30,5,Difference,69,NA
TAZ,16,hh_inc_30_60,1,Difference,16,NA
TAZ,16,hh_inc_60_100,4,Difference,61,NA
TAZ,16,hh_inc_100_plus,11,Difference,215,NA
TAZ,16,hh_child,-15,Difference,334,NA
