COUNTY,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHWORK0,HHWORK1,HHWORK2,HHWORK3,POPAGE1,POPAGE2,POPAGE3,POPAGE4,POPAGE5,POPAGE6,POPSEX1,POPSEX2,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE,POPWRKR
1,173848,173129,73514,88017,104125,186612,162405,55367,45914,89905,105097,224201,430644,291852,595430,592182,508509,428557,79952,84504,67514,46565,46240,87150,176536,30792,1156820,539301,605285
2,98386,136715,74963,119696,72332,145751,152716,58960,55023,156601,75275,145375,446717,301283,572104,608170,429760,310566,119194,33302,48970,37225,42215,86202,181846,10529,1169745,440289,534290
3,257607,386404,230174,359438,185226,454319,439885,154192,182086,467038,321838,481952,1223004,776064,1713185,1738797,1233622,877534,356088,142061,199854,122152,132872,264657,372026,33687,3418295,1267309,1547778
4,176915,232219,136281,209574,149883,272285,252015,80806,117643,273416,193649,296671,777324,428023,1017629,1069096,754989,537873,217116,83984,89166,66461,74602,144851,295925,42664,2044061,797653,960751
5,111162,171341,95286,159364,105005,186984,188324,56841,82870,224362,102308,175153,565234,350799,735210,765516,537154,373967,163187,41275,57982,44249,50484,109001,234163,11851,1488875,549005,675012
6,33287,53247,30737,51704,34004,56495,57436,21042,26972,77624,34793,56973,184997,105539,230795,256103,168976,112301,56675,15143,21660,16999,20346,39835,54993,5213,481685,174189,233900
7,12203,19153,8466,15347,11214,17329,19008,7618,8046,20968,11611,15773,52703,45214,77399,76916,55169,39820,15349,3580,4537,4100,4729,11898,26325,4782,149533,59951,70716
8,58363,84137,38519,57189,55020,81199,76992,24997,31843,82151,49224,66968,218803,172399,301591,319798,238208,174302,63906,23132,33618,26437,27736,53122,74163,11654,609735,249862,297630
9,36147,46373,20450,29288,28735,47245,46704,9575,12199,38658,18252,21898,118942,116731,154310,172370,132258,103279,28979,8420,10472,10504,10397,25909,66556,5345,321335,137603,138973
