COUNTY,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHWORK0,HHWORK1,HHWORK2,HHWORK3,POPAGE1,POPAGE2,POPAGE3,POPAGE4,POPAGE5,POPAGE6,POPSEX1,POPSEX2,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE,POPWRKR
1,191496,193715,82034,99687,114993,204640,184949,62349,67323,131099,113133,242831,576928,287940,704940,714314,566932,451260,115672,102102,82432,61708,53799,94857,172034,30792,1388462,597724,768654
2,113748,156058,85954,141104,85279,166425,175327,69833,84477,220428,105320,170973,578162,308224,694829,772755,496864,329027,167837,44435,61589,50365,51501,93684,195290,10529,1457055,507393,700375
3,339549,500011,294885,451903,239435,590389,564597,191929,301790,699818,411357,621584,1745313,888521,2260755,2407627,1586349,1026170,560179,179666,233525,155359,161750,305337,550712,33687,4634695,1620036,2171753
4,211363,276105,161807,250364,180345,321272,300955,97066,182955,399250,230739,366683,1026107,439854,1253935,1391653,899639,576770,322869,106233,107402,91588,93658,165969,334789,42611,2602977,942250,1294233
5,129882,194272,106176,177910,120439,213852,210258,63691,120285,287627,139580,200864,699053,351899,869497,929811,608240,385100,223140,54162,73315,61195,57313,119310,242945,11851,1787457,620091,866714
6,36721,57381,33312,55930,38520,61054,61070,22700,38367,98216,38304,60658,222942,103130,264931,296688,183344,109137,74207,15211,18896,17341,18109,38572,75215,5213,556406,188557,272381
7,12894,20144,9030,16765,11933,18365,20278,8257,11446,26321,15371,13459,66831,43286,84146,92568,58833,37486,21347,4569,6104,5172,5856,13294,23838,4782,171932,63615,87222
8,64029,92645,43290,66862,61327,89771,86234,29494,48445,109427,65084,71145,285255,173300,366515,386141,266826,177651,89175,24561,27205,27521,26355,53633,107551,11654,741002,278480,364088
9,35929,48093,21739,31736,29767,48781,48557,10392,17600,51089,21991,27901,136590,109889,174527,190533,137497,98744,38753,11693,12822,13800,14610,23791,60781,5345,359715,142842,167816
