COUNTY,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHWORK0,HHWORK1,HHWORK2,HHWORK3,POPAGE1,POPAGE2,POPAGE3,POPAGE4,POPAGE5,POPAGE6,POPSEX1,POPSEX2,HHLESSGQ,HHCHILDNO,HHCHILDYES,HHINC1,HHINC2,HHINC3,HHINC4,HHINC5,HHINC6,HHGQYES,HHGQNO,HHBASE,POPWRKR
1,178549,173863,69716,84983,132341,168601,136415,69755,38791,70828,130720,225907,406035,252525,567786,557021,507111,442454,64657,103957,75380,55125,46188,57414,169047,30212,1094595,537323,629774
2,84697,117349,58549,94677,75952,109236,110444,59641,37841,108238,79713,139904,340715,215513,463242,458683,355273,273489,81784,30065,47652,39488,37623,56545,143900,10333,911592,365606,472137
3,211824,300894,168254,269237,179023,328988,298908,143290,129695,328568,267680,400437,922130,509333,1310525,1247318,950209,693587,256622,117593,154082,122116,111360,149608,295450,32380,2525463,982589,1300953
4,199548,254216,133941,206599,202869,258029,227478,105929,99115,236060,244419,318034,756190,392893,1025574,1021137,794304,608672,185632,130089,124636,106085,93686,111746,228062,48782,1997929,843086,1077795
5,108499,169892,86410,144820,125336,160917,155738,67631,63213,187976,116526,173849,510077,295087,682564,664164,509622,377299,132323,45939,59514,70208,63333,90657,179971,12087,1334641,521709,707632
6,33632,53974,28313,47955,39852,49312,48126,26584,21941,66430,36472,53146,177344,90449,217132,228650,163874,114944,48930,10070,15896,25989,24609,32755,54555,5092,440690,168966,239615
7,12424,19470,7969,14642,13485,15377,16072,9569,6649,17644,13971,18532,48785,38858,74329,70110,54504,40739,13765,3284,5263,8869,7742,10582,18764,4644,139795,59148,77541
8,53019,77785,32312,48488,59880,64544,59233,27946,22916,59529,56373,65841,182323,137684,269707,254959,211603,166035,45568,16829,25247,38397,25374,39808,65948,13611,511055,225214,284024
9,39776,51042,20542,28439,38503,45826,42708,12761,10103,36605,22521,22585,122692,108915,159169,164252,139799,116058,23741,13393,18114,17927,12303,21517,56545,5204,318217,145003,157747
