geography,id,name,value,source,control_size
TAZ,1,num_hh,702,Control,702
TAZ,1,hh_inc_25,172,Control,172
TAZ,1,hh_inc_25_50,124,Control,124
TAZ,1,hh_inc_50_75,57,Control,57
TAZ,1,hh_inc_75_100,58,Control,58
TAZ,1,hh_inc_100_150,85,Control,85
TAZ,1,hh_inc_150_plus,202,Control,202
TAZ,1,hh_gq,4,Control,4
TAZ,1,hh_child,679,Control,679
TAZ,1,hh_no_child,19,Control,19
TAZ,1,num_hh,702,Result,702
TAZ,1,hh_inc_25,172,Result,172
TAZ,1,hh_inc_25_50,124,Result,124
TAZ,1,hh_inc_50_75,57,Result,57
TAZ,1,hh_inc_75_100,58,Result,58
TAZ,1,hh_inc_100_150,85,Result,85
TAZ,1,hh_inc_150_plus,202,Result,202
TAZ,1,hh_gq,4,Result,4
TAZ,1,hh_child,679,Result,679
TAZ,1,hh_no_child,19,Result,19
TAZ,1,num_hh,0,Difference,702
TAZ,1,hh_inc_25,0,Difference,172
TAZ,1,hh_inc_25_50,0,Difference,124
TAZ,1,hh_inc_50_75,0,Difference,57
TAZ,1,hh_inc_75_100,0,Difference,58
TAZ,1,hh_inc_100_150,0,Difference,85
TAZ,1,hh_inc_150_plus,0,Difference,202
TAZ,1,hh_gq,0,Difference,4
TAZ,1,hh_child,0,Difference,679
TAZ,1,hh_no_child,0,Difference,19
TAZ,2,num_hh,848,Control,848
TAZ,2,hh_inc_25,447,Control,447
TAZ,2,hh_inc_25_50,335,Control,335
TAZ,2,hh_inc_50_75,13,Control,13
TAZ,2,hh_inc_75_100,14,Control,14
TAZ,2,hh_inc_100_150,7,Control,7
TAZ,2,hh_inc_150_plus,2,Control,2
TAZ,2,hh_gq,30,Control,30
TAZ,2,hh_child,359,Control,359
TAZ,2,hh_no_child,459,Control,459
TAZ,2,num_hh,848,Result,848
TAZ,2,hh_inc_25,446,Result,447
TAZ,2,hh_inc_25_50,336,Result,335
TAZ,2,hh_inc_50_75,13,Result,13
TAZ,2,hh_inc_75_100,14,Result,14
TAZ,2,hh_inc_100_150,7,Result,7
TAZ,2,hh_inc_150_plus,2,Result,2
TAZ,2,hh_gq,30,Result,30
TAZ,2,hh_child,359,Result,359
TAZ,2,hh_no_child,459,Result,459
TAZ,2,num_hh,0,Difference,848
TAZ,2,hh_inc_25,-1,Difference,447
TAZ,2,hh_inc_25_50,1,Difference,335
TAZ,2,hh_inc_50_75,0,Difference,13
TAZ,2,hh_inc_75_100,0,Difference,14
TAZ,2,hh_inc_100_150,0,Difference,7
TAZ,2,hh_inc_150_plus,0,Difference,2
TAZ,2,hh_gq,0,Difference,30
TAZ,2,hh_child,0,Difference,359
TAZ,2,hh_no_child,0,Difference,459
TAZ,3,num_hh,2655,Control,2655
TAZ,3,hh_inc_25,1008,Control,1008
TAZ,3,hh_inc_25_50,599,Control,599
TAZ,3,hh_inc_50_75,211,Control,211
TAZ,3,hh_inc_75_100,197,Control,197
TAZ,3,hh_inc_100_150,187,Control,187
TAZ,3,hh_inc_150_plus,435,Control,435
TAZ,3,hh_gq,18,Control,18
TAZ,3,hh_child,2482,Control,2482
TAZ,3,hh_no_child,155,Control,155
TAZ,3,num_hh,2655,Result,2655
TAZ,3,hh_inc_25,1008,Result,1008
TAZ,3,hh_inc_25_50,598,Result,599
TAZ,3,hh_inc_50_75,211,Result,211
TAZ,3,hh_inc_75_100,197,Result,197
TAZ,3,hh_inc_100_150,187,Result,187
TAZ,3,hh_inc_150_plus,436,Result,435
TAZ,3,hh_gq,18,Result,18
TAZ,3,hh_child,2482,Result,2482
TAZ,3,hh_no_child,155,Result,155
TAZ,3,num_hh,0,Difference,2655
TAZ,3,hh_inc_25,0,Difference,1008
TAZ,3,hh_inc_25_50,-1,Difference,599
TAZ,3,hh_inc_50_75,0,Difference,211
TAZ,3,hh_inc_75_100,0,Difference,197
TAZ,3,hh_inc_100_150,0,Difference,187
TAZ,3,hh_inc_150_plus,1,Difference,435
TAZ,3,hh_gq,0,Difference,18
TAZ,3,hh_child,0,Difference,2482
TAZ,3,hh_no_child,0,Difference,155
TAZ,4,num_hh,2352,Control,2352
TAZ,4,hh_inc_25,529,Control,529
TAZ,4,hh_inc_25_50,331,Control,331
TAZ,4,hh_inc_50_75,285,Control,285
TAZ,4,hh_inc_75_100,283,Control,283
TAZ,4,hh_inc_100_150,253,Control,253
TAZ,4,hh_inc_150_plus,671,Control,671
TAZ,4,hh_gq,0,Control,0
TAZ,4,hh_child,2192,Control,2192
TAZ,4,hh_no_child,160,Control,160
TAZ,4,num_hh,2352,Result,2352
TAZ,4,hh_inc_25,529,Result,529
TAZ,4,hh_inc_25_50,331,Result,331
TAZ,4,hh_inc_50_75,285,Result,285
TAZ,4,hh_inc_75_100,283,Result,283
TAZ,4,hh_inc_100_150,253,Result,253
TAZ,4,hh_inc_150_plus,671,Result,671
TAZ,4,hh_gq,0,Result,0
TAZ,4,hh_child,2192,Result,2192
TAZ,4,hh_no_child,160,Result,160
TAZ,4,num_hh,0,Difference,2352
TAZ,4,hh_inc_25,0,Difference,529
TAZ,4,hh_inc_25_50,0,Difference,331
TAZ,4,hh_inc_50_75,0,Difference,285
TAZ,4,hh_inc_75_100,0,Difference,283
TAZ,4,hh_inc_100_150,0,Difference,253
TAZ,4,hh_inc_150_plus,0,Difference,671
TAZ,4,hh_gq,0,Difference,0
TAZ,4,hh_child,0,Difference,2192
TAZ,4,hh_no_child,0,Difference,160
TAZ,5,num_hh,3501,Control,3501
TAZ,5,hh_inc_25,839,Control,839
TAZ,5,hh_inc_25_50,507,Control,507
TAZ,5,hh_inc_50_75,356,Control,356
TAZ,5,hh_inc_75_100,336,Control,336
TAZ,5,hh_inc_100_150,363,Control,363
TAZ,5,hh_inc_150_plus,1094,Control,1094
TAZ,5,hh_gq,6,Control,6
TAZ,5,hh_child,3433,Control,3433
TAZ,5,hh_no_child,62,Control,62
TAZ,5,num_hh,3501,Result,3501
TAZ,5,hh_inc_25,839,Result,839
TAZ,5,hh_inc_25_50,507,Result,507
TAZ,5,hh_inc_50_75,356,Result,356
TAZ,5,hh_inc_75_100,336,Result,336
TAZ,5,hh_inc_100_150,363,Result,363
TAZ,5,hh_inc_150_plus,1094,Result,1094
TAZ,5,hh_gq,6,Result,6
TAZ,5,hh_child,3433,Result,3433
TAZ,5,hh_no_child,62,Result,62
TAZ,5,num_hh,0,Difference,3501
TAZ,5,hh_inc_25,0,Difference,839
TAZ,5,hh_inc_25_50,0,Difference,507
TAZ,5,hh_inc_50_75,0,Difference,356
TAZ,5,hh_inc_75_100,0,Difference,336
TAZ,5,hh_inc_100_150,0,Difference,363
TAZ,5,hh_inc_150_plus,0,Difference,1094
TAZ,5,hh_gq,0,Difference,6
TAZ,5,hh_child,0,Difference,3433
TAZ,5,hh_no_child,0,Difference,62
TAZ,6,num_hh,1249,Control,1249
TAZ,6,hh_inc_25,294,Control,294
TAZ,6,hh_inc_25_50,190,Control,190
TAZ,6,hh_inc_50_75,156,Control,156
TAZ,6,hh_inc_75_100,152,Control,152
TAZ,6,hh_inc_100_150,119,Control,119
TAZ,6,hh_inc_150_plus,320,Control,320
TAZ,6,hh_gq,18,Control,18
TAZ,6,hh_child,1191,Control,1191
TAZ,6,hh_no_child,40,Control,40
TAZ,6,num_hh,1249,Result,1249
TAZ,6,hh_inc_25,294,Result,294
TAZ,6,hh_inc_25_50,190,Result,190
TAZ,6,hh_inc_50_75,156,Result,156
TAZ,6,hh_inc_75_100,152,Result,152
TAZ,6,hh_inc_100_150,119,Result,119
TAZ,6,hh_inc_150_plus,320,Result,320
TAZ,6,hh_gq,18,Result,18
TAZ,6,hh_child,1191,Result,1191
TAZ,6,hh_no_child,40,Result,40
TAZ,6,num_hh,0,Difference,1249
TAZ,6,hh_inc_25,0,Difference,294
TAZ,6,hh_inc_25_50,0,Difference,190
TAZ,6,hh_inc_50_75,0,Difference,156
TAZ,6,hh_inc_75_100,0,Difference,152
TAZ,6,hh_inc_100_150,0,Difference,119
TAZ,6,hh_inc_150_plus,0,Difference,320
TAZ,6,hh_gq,0,Difference,18
TAZ,6,hh_child,0,Difference,1191
TAZ,6,hh_no_child,0,Difference,40
TAZ,7,num_hh,469,Control,469
TAZ,7,hh_inc_25,171,Control,171
TAZ,7,hh_inc_25_50,96,Control,96
TAZ,7,hh_inc_50_75,50,Control,50
TAZ,7,hh_inc_75_100,44,Control,44
TAZ,7,hh_inc_100_150,32,Control,32
TAZ,7,hh_inc_150_plus,76,Control,76
TAZ,7,hh_gq,0,Control,0
TAZ,7,hh_child,424,Control,424
TAZ,7,hh_no_child,45,Control,45
TAZ,7,num_hh,469,Result,469
TAZ,7,hh_inc_25,171,Result,171
TAZ,7,hh_inc_25_50,96,Result,96
TAZ,7,hh_inc_50_75,50,Result,50
TAZ,7,hh_inc_75_100,44,Result,44
TAZ,7,hh_inc_100_150,32,Result,32
TAZ,7,hh_inc_150_plus,76,Result,76
TAZ,7,hh_gq,0,Result,0
TAZ,7,hh_child,424,Result,424
TAZ,7,hh_no_child,45,Result,45
TAZ,7,num_hh,0,Difference,469
TAZ,7,hh_inc_25,0,Difference,171
TAZ,7,hh_inc_25_50,0,Difference,96
TAZ,7,hh_inc_50_75,0,Difference,50
TAZ,7,hh_inc_75_100,0,Difference,44
TAZ,7,hh_inc_100_150,0,Difference,32
TAZ,7,hh_inc_150_plus,0,Difference,76
TAZ,7,hh_gq,0,Difference,0
TAZ,7,hh_child,0,Difference,424
TAZ,7,hh_no_child,0,Difference,45
TAZ,8,num_hh,741,Control,741
TAZ,8,hh_inc_25,188,Control,188
TAZ,8,hh_inc_25_50,107,Control,107
TAZ,8,hh_inc_50_75,85,Control,85
TAZ,8,hh_inc_75_100,83,Control,83
TAZ,8,hh_inc_100_150,78,Control,78
TAZ,8,hh_inc_150_plus,200,Control,200
TAZ,8,hh_gq,0,Control,0
TAZ,8,hh_child,728,Control,728
TAZ,8,hh_no_child,13,Control,13
TAZ,8,num_hh,741,Result,741
TAZ,8,hh_inc_25,188,Result,188
TAZ,8,hh_inc_25_50,107,Result,107
TAZ,8,hh_inc_50_75,85,Result,85
TAZ,8,hh_inc_75_100,83,Result,83
TAZ,8,hh_inc_100_150,78,Result,78
TAZ,8,hh_inc_150_plus,200,Result,200
TAZ,8,hh_gq,0,Result,0
TAZ,8,hh_child,728,Result,728
TAZ,8,hh_no_child,13,Result,13
TAZ,8,num_hh,0,Difference,741
TAZ,8,hh_inc_25,0,Difference,188
TAZ,8,hh_inc_25_50,0,Difference,107
TAZ,8,hh_inc_50_75,0,Difference,85
TAZ,8,hh_inc_75_100,0,Difference,83
TAZ,8,hh_inc_100_150,0,Difference,78
TAZ,8,hh_inc_150_plus,0,Difference,200
TAZ,8,hh_gq,0,Difference,0
TAZ,8,hh_child,0,Difference,728
TAZ,8,hh_no_child,0,Difference,13
TAZ,9,num_hh,9741,Control,9741
TAZ,9,hh_inc_25,409,Control,409
TAZ,9,hh_inc_25_50,243,Control,243
TAZ,9,hh_inc_50_75,333,Control,333
TAZ,9,hh_inc_75_100,731,Control,731
TAZ,9,hh_inc_100_150,1481,Control,1481
TAZ,9,hh_inc_150_plus,5646,Control,5646
TAZ,9,hh_gq,898,Control,898
TAZ,9,hh_child,6870,Control,6870
TAZ,9,hh_no_child,1973,Control,1973
TAZ,9,num_hh,9741,Result,9741
TAZ,9,hh_inc_25,412,Result,409
