geography,id,name,value,source,control_size
TAZ,5,hh_inc_25_50,668,Control,668
TAZ,5,hh_inc_50_75,270,Control,270
TAZ,5,hh_inc_75_100,283,Control,283
TAZ,5,hh_inc_100_150,379,Control,379
TAZ,5,hh_inc_150_plus,502,Control,502
TAZ,5,hh_gq,7,Control,7
TAZ,5,hh_child,2979,Control,2979
TAZ,5,hh_no_child,68,Control,68
TAZ,5,num_hh,3054,Result,3054
TAZ,5,hh_inc_25,944,Result,945
TAZ,5,hh_inc_25_50,668,Result,668
TAZ,5,hh_inc_50_75,270,Result,270
TAZ,5,hh_inc_75_100,283,Result,283
TAZ,5,hh_inc_100_150,379,Result,379
TAZ,5,hh_inc_150_plus,503,Result,502
TAZ,5,hh_gq,7,Result,7
TAZ,5,hh_child,2979,Result,2979
TAZ,5,hh_no_child,68,Result,68
TAZ,5,num_hh,0,Difference,3054
TAZ,5,hh_inc_25,-1,Difference,945
TAZ,5,hh_inc_25_50,0,Difference,668
TAZ,5,hh_inc_50_75,0,Difference,270
TAZ,5,hh_inc_75_100,0,Difference,283
TAZ,5,hh_inc_100_150,0,Difference,379
TAZ,5,hh_inc_150_plus,1,Difference,502
TAZ,5,hh_gq,0,Difference,7
TAZ,5,hh_child,0,Difference,2979
TAZ,5,hh_no_child,0,Difference,68
TAZ,6,num_hh,1446,Control,1446
TAZ,6,hh_inc_25,417,Control,417
TAZ,6,hh_inc_25_50,289,Control,289
TAZ,6,hh_inc_50_75,142,Control,142
TAZ,6,hh_inc_75_100,141,Control,141
TAZ,6,hh_inc_100_150,206,Control,206
TAZ,6,hh_inc_150_plus,231,Control,231
TAZ,6,hh_gq,20,Control,20
TAZ,6,hh_child,1341,Control,1341
TAZ,6,hh_no_child,85,Control,85
TAZ,6,num_hh,1446,Result,1446
TAZ,6,hh_inc_25,417,Result,417
TAZ,6,hh_inc_25_50,289,Result,289
TAZ,6,hh_inc_50_75,142,Result,142
TAZ,6,hh_inc_75_100,141,Result,141
TAZ,6,hh_inc_100_150,206,Result,206
TAZ,6,hh_inc_150_plus,231,Result,231
TAZ,6,hh_gq,20,Result,20
TAZ,6,hh_child,1341,Result,1341
TAZ,6,hh_no_child,85,Result,85
TAZ,6,num_hh,0,Difference,1446
TAZ,6,hh_inc_25,0,Difference,417
TAZ,6,hh_inc_25_50,0,Difference,289
TAZ,6,hh_inc_50_75,0,Difference,142
TAZ,6,hh_inc_75_100,0,Difference,141
TAZ,6,hh_inc_100_150,0,Difference,206
TAZ,6,hh_inc_150_plus,0,Difference,231
TAZ,6,hh_gq,0,Difference,20
TAZ,6,hh_child,0,Difference,1341
TAZ,6,hh_no_child,0,Difference,85
TAZ,7,num_hh,532,Control,532
TAZ,7,hh_inc_25,174,Control,174
TAZ,7,hh_inc_25_50,108,Control,108
TAZ,7,hh_inc_50_75,55,Control,55
TAZ,7,hh_inc_75_100,54,Control,54
TAZ,7,hh_inc_100_150,60,Control,60
TAZ,7,hh_inc_150_plus,81,Control,81
TAZ,7,hh_gq,0,Control,0
TAZ,7,hh_child,475,Control,475
TAZ,7,hh_no_child,57,Control,57
TAZ,7,num_hh,532,Result,532
